"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)"
         115,      -7.124714476,      -6.159122669,      -5.757047481,      -4.930944446,      -7.034757443,      -2.763234915,    -0.01433214109,        0.04368728345,        -0.05801942454
         116,      -7.125669347,      -6.168760152,      -5.757615473,      -4.932001451,      -7.037673571,      -2.779822127,      -0.014489661,        0.04368830382,        -0.05817796482
         117,       -7.13417903,      -6.186475938,      -5.768812584,      -5.051687594,      -7.036246468,      -2.780252497,    -0.01465240909,        0.04368780201,         -0.0583402111
         118,      -7.126405358,      -6.186395485,      -5.755423809,      -4.991371439,      -7.035984918,      -2.796058654,    -0.01481465721,        0.04368500661,        -0.05849966381
         119,      -7.138317925,      -6.207886134,      -5.770229339,      -4.979145892,       -7.03107889,      -2.792836426,    -0.01497607073,        0.04368078284,        -0.05865685358
         120,      -7.133006638,      -6.211186804,      -5.759021649,      -4.933969587,      -7.026787213,      -2.803759608,    -0.01513028178,        0.04367561209,        -0.05880589387
         121,      -7.146702477,      -6.236550211,      -5.774939961,      -4.921179515,      -7.018203005,      -2.798446406,    -0.01527672186,        0.04367050517,        -0.05894722703
         122,      -7.142629572,      -6.245509702,      -5.764754292,      -4.880980795,      -7.010074253,      -2.803964415,    -0.01541003899,        0.04366639154,        -0.05907643053
         123,      -7.153746909,      -6.274368724,      -5.776767358,      -4.870244433,      -7.000749226,      -2.805674557,     -0.0155289445,        0.04366401939,         -0.0591929639
         124,      -7.153933097,      -6.295732205,      -5.773447883,      -4.844273516,      -6.989995993,      -2.802495379,    -0.01563269068,        0.04366398853,        -0.05929667921
         125,      -7.148668849,      -6.318975456,      -5.763985104,      -4.816550319,      -6.981863471,      -2.812202578,    -0.01571976644,        0.04366648799,        -0.05938625443
         126,      -7.154355512,      -6.355841708,      -5.770913145,      -4.815293127,      -6.971501357,      -2.803251034,    -0.01579217015,        0.04367173276,        -0.05946390291
         127,      -7.135663901,      -6.378587992,      -5.745412878,      -4.775746777,       -6.96541059,      -2.816864546,    -0.01585020992,          0.043678804,        -0.05952901392
         128,      -7.138047352,      -6.420494163,      -5.746304711,      -4.785538474,      -6.959697178,      -2.813385989,    -0.01589563852,        0.04368785592,        -0.05958349444
         129,      -7.120406273,      -6.448862105,      -5.719023187,      -4.760649422,      -6.958352706,      -2.829267237,    -0.01593089624,        0.04369742249,        -0.05962831873
         130,      -7.119681306,      -6.486367202,      -5.715684502,      -4.772921314,      -6.956721562,      -2.829102688,    -0.01595776029,        0.04370821846,        -0.05966597875
         131,      -7.102549464,      -6.513006678,      -5.690505394,      -4.734741535,      -6.957576532,      -2.842228987,    -0.01597912194,        0.04371884115,        -0.05969796309
         132,      -7.101298796,      -6.543571145,      -5.687097844,       -4.71638076,      -6.957955397,      -2.849443377,    -0.01599594319,        0.04373005486,        -0.05972599805
         133,      -7.092018065,      -6.564262239,      -5.673132599,       -4.69034833,      -6.957350432,      -2.854242673,    -0.01600968122,        0.04374177068,         -0.0597514519
         134,       -7.08238762,      -6.580348125,      -5.659891039,      -4.669984565,      -6.956999167,      -2.869782358,    -0.01602236441,        0.04375279231,        -0.05977515672
         135,      -7.081328777,      -6.589468854,      -5.657977923,      -4.666251507,      -6.953405037,      -2.870998804,    -0.01603325611,        0.04376479289,          -0.059798049
         136,      -7.064922091,      -6.595904286,      -5.637092298,      -4.643956113,      -6.950662115,      -2.884991636,    -0.01604562837,        0.04377455312,        -0.05982018149
         137,      -7.066224865,      -6.600342954,      -5.639693906,      -4.655151428,      -6.945290464,      -2.884275181,    -0.01605788791,        0.04378386516,        -0.05984175307
         138,      -7.053301362,      -6.603437282,       -5.62446151,      -4.647134119,      -6.941226299,      -2.894344478,    -0.01607250944,        0.04378972412,        -0.05986223356
         139,      -7.054662722,      -6.606677964,      -5.628255199,      -4.664641001,      -6.935496641,      -2.890497385,    -0.01608719833,        0.04379400899,        -0.05988120732
         140,       -7.04312596,       -6.60937945,      -5.615810818,      -4.636558551,      -6.931888301,      -2.896121815,    -0.01610360843,        0.04379421804,        -0.05989782647
         141,      -7.044670844,      -6.613462521,      -5.620303194,       -4.62519931,      -6.928109487,      -2.892034435,    -0.01611940284,        0.04379197355,        -0.05991137638
         142,      -7.036982963,      -6.616570821,      -5.612288158,      -4.603657386,      -6.926269805,      -2.892965752,    -0.01613485376,         0.0437862655,        -0.05992111926
         143,      -7.035411243,      -6.621455624,      -5.611536077,      -4.595972001,      -6.926166694,      -2.893785445,    -0.01614905082,        0.04377748354,        -0.05992653436
         144,      -7.034179802,      -6.624998028,      -5.610017406,      -4.591678609,      -6.926475545,       -2.89025271,    -0.01616065023,        0.04376666761,        -0.05992731784
         145,      -7.025600176,      -6.631662838,      -5.599043654,      -4.582469226,      -6.929923827,      -2.897031503,    -0.01617059323,        0.04375303523,        -0.05992362845
         146,      -7.028193908,      -6.636036816,      -5.602116629,      -4.593964089,      -6.932990123,      -2.890907992,    -0.01617755673,        0.04373818901,        -0.05991574574
         147,      -7.017023908,      -6.642679682,      -5.588119248,       -4.58387843,      -6.939475188,      -2.900329201,    -0.01618288011,        0.04372172265,        -0.05990460276
         148,      -7.019522552,      -6.646878217,      -5.591926881,      -4.595447507,      -6.945790265,       -2.89539043,    -0.01618627716,        0.04370484739,        -0.05989112454
         149,      -7.009754776,        -6.6522497,      -5.580576079,      -4.585841174,      -6.955235797,      -2.904396714,    -0.01618876203,        0.04368802703,        -0.05987678906
         150,       -7.01157578,      -6.656602427,       -5.58439066,      -4.594651261,      -6.964945297,      -2.902963677,    -0.01619087693,        0.04367211979,        -0.05986299672
         151,      -7.004873052,      -6.661309715,      -5.577355155,       -4.58774351,      -6.977149768,      -2.909817968,    -0.01619329428,        0.04365808564,        -0.05985137992
         152,      -7.006296397,      -6.665908709,      -5.580407221,      -4.592980546,      -6.990244576,      -2.913862075,    -0.01619674874,        0.04364668932,        -0.05984343806
         153,      -7.004954785,      -6.669714601,      -5.579130999,      -4.591236174,      -7.004359637,       -2.91763803,    -0.01620174543,        0.04363876816,        -0.05984051359
         154,       -7.00445171,      -6.675068462,      -5.578328894,      -4.591049745,      -7.019587297,      -2.926249338,    -0.01620841162,        0.04363520593,        -0.05984361756
         155,      -7.008266377,      -6.679117633,      -5.582240606,      -4.595832366,       -7.03367816,      -2.928193991,    -0.01621696758,        0.04363648982,         -0.0598534574
         156,      -7.006717817,      -6.685383732,      -5.579175528,      -4.592359554,      -7.047870404,      -2.938101693,    -0.01622664352,         0.0436434534,        -0.05987009692
         157,      -7.014313075,      -6.690845685,      -5.587525259,       -4.60292494,      -7.058672691,      -2.937994783,    -0.01623683166,        0.04365659721,        -0.05989342887
         158,      -7.014269739,      -6.698242414,      -5.586216768,      -4.601047202,      -7.067997802,      -2.945990916,    -0.01624630466,        0.04367619058,        -0.05992249524
         159,      -7.023578633,      -6.705432239,      -5.596877809,      -4.615065327,      -7.072747834,      -2.943870899,     -0.0162533262,        0.04370296519,        -0.05995629139
         160,      -7.025501617,      -6.713089122,      -5.598248898,      -4.617637762,      -7.075250516,      -2.947832622,    -0.01625673089,        0.04373632576,        -0.05999305665
         161,      -7.033735092,       -6.72042286,      -5.607739189,       -4.63241584,      -7.074157959,       -2.94532929,    -0.01625419127,          0.043776832,        -0.06003102326
         162,      -7.036393576,      -6.726617846,      -5.610173162,      -4.639289442,      -7.071583521,      -2.945987849,    -0.01624457606,        0.04382354258,        -0.06006811864
         163,      -7.039653753,      -6.732286508,      -5.613741172,       -4.65022652,      -7.068463223,       -2.94668625,    -0.01622663623,        0.04387567343,        -0.06010230966
         164,      -7.041013542,      -6.735394833,      -5.615366324,      -4.658962828,      -7.065494922,      -2.946512389,    -0.01619860196,        0.04393322108,        -0.06013182304
         165,      -7.037353193,      -6.737764814,      -5.611557189,      -4.661339634,      -7.065170384,      -2.952365211,    -0.01616216462,        0.04399289727,        -0.06015506189
         166,       -7.03615371,      -6.736806269,      -5.611677723,      -4.666641536,      -7.066882482,      -2.954156196,    -0.01611451963,         0.0440563887,        -0.06017090833
         167,      -7.027293039,      -6.734933227,      -5.602963464,      -4.658104183,      -7.073548076,      -2.965143073,    -0.01606018561,        0.04411844045,        -0.06017862605
         168,      -7.023119012,      -6.730230537,      -5.600792222,      -4.654068499,      -7.084217606,      -2.972187029,     -0.0159959144,        0.04418195498,        -0.06017786937
         169,      -7.011891602,      -6.724738505,       -5.58996338,      -4.635221753,      -7.101415265,      -2.989330368,    -0.01592743204,        0.04424137699,        -0.06016880903
         170,      -7.005861104,        -6.7179707,      -5.585724891,      -4.621428605,      -7.124490478,      -3.005371178,    -0.01585205212,        0.04429977704,        -0.06015182916
         171,      -6.995401423,       -6.71072722,      -5.575530307,      -4.597642202,      -7.155156258,      -3.031040449,    -0.01577490877,        0.04435285205,        -0.06012776082
         172,      -6.989490661,       -6.70363814,      -5.570834238,      -4.579520332,      -7.192874467,      -3.059338009,    -0.01569497467,        0.04440253272,         -0.0600975074
         173,      -6.982453841,      -6.696318341,       -5.56421824,      -4.558275372,       -7.23737032,      -3.094420304,    -0.01561477185,        0.04444737942,        -0.06006215128
         174,      -6.977941895,      -6.690163765,      -5.560459065,       -4.54070273,      -7.285748932,      -3.137950424,    -0.01553641989,        0.04448646494,        -0.06002288483
         175,      -6.976196548,       -6.68376165,      -5.559616629,      -4.526199941,      -7.331037647,      -3.182859699,    -0.01545883204,        0.04452195571,        -0.05998078775
