     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
      -5.680245099,      -1.801218939,      -4.079354337,      -5.538098197,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00213347901,    0.001653227872,                 0,                 0,                 0,  -0.0005062489069,     0.00213347901,    0.001653227872,                 0,      0.7748976503
      -5.679882674,      -1.803118328,      -4.082966987,      -5.549588193,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002135120506,    0.001668213955,                 0,                 0,                 0,  -0.0004995888213,    0.002135120506,    0.001668213955,                 0,        0.78132075
      -5.679674231,      -1.805050917,      -4.086567526,      -5.561126291,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002136844777,    0.001682460321,                 0,                 0,                 0,  -0.0004929606107,    0.002136844777,    0.001682460321,                 0,      0.7873572937
      -5.679598014,      -1.807015556,      -4.090168973,        -5.5727079,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002138649154,    0.001695985833,                 0,                 0,                 0,  -0.0004863684922,    0.002138649154,    0.001695985833,                 0,       0.793017326
      -5.679633439,      -1.809011148,      -4.093742491,      -5.584325338,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002140531024,     0.00170880762,                 0,                 0,                 0,  -0.0004798141776,    0.002140531024,     0.00170880762,                 0,      0.7983101392
      -5.679764998,      -1.811037021,      -4.097316408,      -5.595971872,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002142487832,    0.001720943227,                 0,                 0,                 0,  -0.0004732976942,    0.002142487832,    0.001720943227,                 0,      0.8032452749
      -5.679978435,      -1.813092316,      -4.100856213,       -5.60763934,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002144517132,     0.00173240588,                 0,                 0,                 0,  -0.0004668266747,    0.002144517132,     0.00173240588,                 0,      0.8078302821
      -5.680256579,      -1.815175961,      -4.104410358,      -5.619316659,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002146616498,    0.001743217407,                 0,                 0,                 0,  -0.0004603967176,    0.002146616498,    0.001743217407,                 0,      0.8120767767
      -5.680584865,      -1.817287612,       -4.10792778,      -5.630991451,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002148783604,    0.001753390729,                 0,                 0,                 0,  -0.0004540105818,    0.002148783604,    0.001753390729,                 0,      0.8159922321
       -5.68095367,      -1.819426726,      -4.111428599,      -5.642649733,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002151016304,    0.001762940612,                 0,                 0,                 0,  -0.0004476707348,    0.002151016304,    0.001762940612,                 0,      0.8195849605
       -5.68135411,      -1.821592996,      -4.114923046,      -5.654275866,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00215331252,    0.001771880927,                 0,                 0,                 0,   -0.000441383688,     0.00215331252,    0.001771880927,                 0,      0.8228628731
      -5.681772826,      -1.823786008,       -4.11842109,      -5.665849585,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002155670166,    0.001780234042,                 0,                 0,                 0,  -0.0004351435492,    0.002155670166,    0.001780234042,                 0,      0.8258378624
      -5.682219569,      -1.826005904,      -4.121948976,      -5.677352681,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002158087328,    0.001788005911,                 0,                 0,                 0,  -0.0004289523403,    0.002158087328,    0.001788005911,                 0,      0.8285141606
      -5.682705189,      -1.828252508,      -4.125521633,      -5.688764765,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00216056223,    0.001795210034,                 0,                 0,                 0,  -0.0004228140561,     0.00216056223,    0.001795210034,                 0,      0.8308994803
      -5.683245134,      -1.830526187,      -4.129159514,      -5.700060693,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00216309312,    0.001801860002,                 0,                 0,                 0,  -0.0004167350082,     0.00216309312,    0.001801860002,                 0,      0.8330015869
      -5.683813978,      -1.832826102,      -4.132774062,      -5.711212997,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002165678131,     0.00180797777,                 0,                 0,                 0,   -0.000410704944,    0.002165678131,     0.00180797777,                 0,       0.834832168
      -5.684396225,      -1.835152382,      -4.136335517,      -5.722192424,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002168315394,    0.001813573249,                 0,                 0,                 0,  -0.0004047278491,    0.002168315394,    0.001813573249,                 0,      0.8363973497
      -5.685002465,       -1.83750513,      -4.139832553,      -5.732966908,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002171003102,    0.001818658747,                 0,                 0,                 0,  -0.0003988045384,    0.002171003102,    0.001818658747,                 0,      0.8377043519
      -5.685657864,      -1.839884494,      -4.143325525,      -5.743503731,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002173739529,    0.001823244732,                 0,                 0,                 0,  -0.0003929335494,    0.002173739529,    0.001823244732,                 0,      0.8387595238
      -5.686348809,       -1.84229091,      -4.146690833,      -5.753767889,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002176523033,    0.001827339537,                 0,                 0,                 0,  -0.0003871217694,    0.002176523033,    0.001827339537,                 0,      0.8395682054
      -5.687099244,      -1.844723818,      -4.150035606,      -5.763722164,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002179352033,    0.001830956781,                 0,                 0,                 0,  -0.0003813631833,    0.002179352033,    0.001830956781,                 0,      0.8401381482
      -5.687921736,      -1.847183338,      -4.153333513,      -5.773329086,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002182225123,    0.001834104134,                 0,                 0,                 0,  -0.0003756626076,    0.002182225123,    0.001834104134,                 0,      0.8404743003
      -5.688808389,      -1.849669376,      -4.156570892,      -5.782549346,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002185140939,    0.001836794433,                 0,                 0,                 0,  -0.0003700169224,    0.002185140939,    0.001836794433,                 0,       0.840583964
      -5.689773091,      -1.852181947,      -4.159782411,       -5.79134437,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002188098241,    0.001839033573,                 0,                 0,                 0,    -0.00036442843,    0.002188098241,    0.001839033573,                 0,      0.8404712083
      -5.690805735,        -1.8547209,      -4.162922907,      -5.799674894,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002191095874,    0.001840831956,                 0,                 0,                 0,  -0.0003588960713,    0.002191095874,    0.001840831956,                 0,      0.8401421306
      -5.691909717,      -1.857285942,      -4.166031368,      -5.807503142,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002194132738,    0.001842197534,                 0,                 0,                 0,  -0.0003534222951,    0.002194132738,    0.001842197534,                 0,      0.8396016805
      -5.693086243,      -1.859876289,      -4.169124518,      -5.814793071,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002197207814,    0.001843141245,                 0,                 0,                 0,  -0.0003480040976,    0.002197207814,    0.001843141245,                 0,      0.8388561307
      -5.694329362,      -1.862491764,      -4.172193323,      -5.821510207,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002200320144,    0.001843670156,                 0,                 0,                 0,  -0.0003426502118,    0.002200320144,    0.001843670156,                 0,      0.8379099563
       -5.69566917,      -1.865132709,      -4.175298926,      -5.827624705,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00220346838,     0.00184379815,                 0,                 0,                 0,  -0.0003373513433,     0.00220346838,     0.00184379815,                 0,      0.8367708686
      -5.697090031,      -1.867798339,      -4.178401732,      -5.833110988,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00220665122,    0.001843535592,                 0,                 0,                 0,  -0.0003321084316,     0.00220665122,    0.001843535592,                 0,      0.8354449381
      -5.698565869,       -1.87048873,      -4.181445457,      -5.837946811,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00220986788,    0.001842886381,                 0,                 0,                 0,  -0.0003269216727,     0.00220986788,    0.001842886381,                 0,      0.8339350951
      -5.700100372,      -1.873203345,      -4.184520816,      -5.842116877,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00221311771,    0.001841856648,                 0,                 0,                 0,  -0.0003217929648,     0.00221311771,    0.001841856648,                 0,      0.8322452257
      -5.701682799,      -1.875941852,      -4.187562968,      -5.845611155,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002216400072,    0.001840454667,                 0,                 0,                 0,   -0.000316720352,    0.002216400072,    0.001840454667,                 0,      0.8303801691
      -5.703309289,      -1.878704017,      -4.190604344,      -5.848425781,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002219714289,    0.001838686072,                 0,                 0,                 0,  -0.0003117074793,    0.002219714289,    0.001838686072,                 0,      0.8283435764
      -5.704973466,      -1.881489142,       -4.19366285,      -5.850563194,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002223059545,    0.001836560798,                 0,                 0,                 0,  -0.0003067523266,    0.002223059545,    0.001836560798,                 0,       0.826141073
      -5.706675664,      -1.884297753,      -4.196758596,      -5.852034169,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002226435052,    0.001834085591,                 0,                 0,                 0,  -0.0003018518079,    0.002226435052,    0.001834085591,                 0,      0.8237768218
      -5.708408522,      -1.887129373,      -4.199843375,      -5.852853901,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002229840159,    0.001831266784,                 0,                 0,                 0,   -0.000297007422,    0.002229840159,    0.001831266784,                 0,      0.8212547328
      -5.710165423,      -1.889983723,      -4.202944951,      -5.853042115,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002233274232,     0.00182811095,                 0,                 0,                 0,  -0.0002922195734,    0.002233274232,     0.00182811095,                 0,      0.8185788042
